stamp,component_count,main_size,small_component_index,small_component_size,nearest_distance_m,small_x,small_y,small_z,main_x,main_y,main_z,reason
1786670425.1387641,2,81,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670425.5414574,2,79,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670425.9337857,2,76,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670426.3268929,2,77,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670426.7300088,2,78,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670427.143406,2,81,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670427.5359783,2,87,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670427.959648,2,91,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670428.3833082,2,87,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670428.7666483,2,85,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670429.1702986,2,87,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670429.575184,2,84,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670429.9787967,2,92,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670430.3815308,2,92,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670431.1868925,2,90,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670431.5796463,2,93,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670431.9923165,2,95,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670432.3852692,2,86,1,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670432.7892442,3,94,1,3,2.0399921788575894,33.234378814697266,-0.21413123607635498,0.10732194781303406,32.43437957763672,-2.0807979106903076,0.30000001192092896,visibility_direction_rejected
1786670432.7892442,3,94,2,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670433.1816547,3,105,1,4,1.4591098803098261,33.261871337890625,-0.2063143253326416,0.10732194781303406,33.28936767578125,-1.6651639938354492,0.1091216504573822,visibility_direction_rejected
1786670433.1816547,3,105,2,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670433.5844357,5,88,1,4,1.528267602004812,33.251827239990234,-0.20133449137210846,0.10732194781303406,32.831729888916016,-1.6580414772033691,0.30000001192092896,visibility_direction_rejected
1786670433.5844357,5,88,2,3,0.8070753628462287,9.231731414794922,5.941958427429199,0.11040092259645462,8.525525093078613,5.552806377410889,0.07570287585258484,visibility_direction_rejected
1786670433.5844357,5,88,3,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670433.5844357,5,88,4,2,4.571682217306449,35.26055145263672,6.738397598266602,0.1091216504573822,30.727214813232422,6.738397598266602,0.699999988079071,not_evaluated_this_snapshot
1786670433.967366,6,81,1,6,1.8912167440421863,21.667163848876953,8.674481391906738,1.1000001430511475,22.333744049072266,6.904630661010742,1.100000023841858,visibility_static_rejected
1786670433.967366,6,81,2,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670433.967366,6,81,3,2,1.0922100005672648,19.249404907226562,6.756628036499023,0.30000001192092896,19.944889068603516,7.019733428955078,1.100000023841858,visibility_direction_rejected
1786670433.967366,6,81,4,2,4.838085057268007,27.122304916381836,6.341823577880859,0.699999988079071,22.333744049072266,6.904630661010742,1.100000023841858,not_evaluated_this_snapshot
1786670433.967366,6,81,5,1,1.2435127360987033,29.800411224365234,0.9046305418014526,0.1123540922999382,31.000411987304688,0.6379638910293579,0.30000001192092896,not_evaluated_this_snapshot
1786670434.3804176,6,70,1,9,1.5807641339117529,21.667163848876953,8.674481391906738,1.1000001430511475,21.862232208251953,7.325124740600586,0.30000001192092896,visibility_static_rejected
1786670434.3804176,6,70,2,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670434.3804176,6,70,3,2,1.8684372466194366,33.24885940551758,-0.1333276480436325,0.142817884683609,34.39556884765625,-1.608208417892456,0.11380212008953094,visibility_direction_rejected
1786670434.3804176,6,70,4,2,1.075625089847278,20.79556655883789,6.391791343688965,0.30000001192092896,20.40329360961914,6.994361877441406,1.100000023841858,visibility_direction_rejected
1786670434.3804176,6,70,5,2,6.46219713988208,36.79556655883789,4.391791820526123,0.11380212008953094,34.39556884765625,-1.608208417892456,0.11380212008953094,not_evaluated_this_snapshot
1786670434.7727838,5,76,1,7,0.028617490321505807,12.709263801574707,9.562278747558594,0.10732194781303406,12.693933486938477,9.577876091003418,0.08886483311653137,visibility_direction_rejected
1786670434.7727838,5,76,2,3,0.6918980717553233,27.109262466430664,6.362278461456299,0.699999988079071,26.852270126342773,5.859607696533203,0.30000001192092896,visibility_direction_rejected
1786670434.7727838,5,76,3,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670434.7727838,5,76,4,2,1.0791869641601661,20.83746337890625,6.414585113525391,0.30000001192092896,20.40329360961914,6.994361877441406,1.100000023841858,visibility_direction_rejected
1786670435.1555738,6,63,1,11,1.9480596402828259,22.820858001708984,8.780754089355469,1.5,22.27296257019043,6.954625129699707,1.100000023841858,visibility_direction_rejected
1786670435.1555738,6,63,2,7,0.020288002709763758,12.699625015258789,9.571667671203613,0.10732194781303406,12.693933486938477,9.577876091003418,0.08886483311653137,visibility_direction_rejected
1786670435.1555738,6,63,3,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670435.1555738,6,63,4,2,1.0634000843518543,20.80629539489746,6.421291828155518,0.30000001192092896,20.40329360961914,6.994361877441406,1.100000023841858,visibility_direction_rejected
1786670435.1555738,6,63,5,2,1.9090428237010668,10.775127410888672,-0.10533475875854492,0.30000001192092896,10.775127410888672,-1.9720014333724976,-0.10000002384185791,visibility_direction_rejected
1786670435.568486,6,68,1,9,2.5252125098206446,22.823129653930664,9.210418701171875,0.10732194781303406,22.27296257019043,6.954625129699707,1.100000023841858,visibility_direction_rejected
1786670435.568486,6,68,2,4,1.8385673623729297,11.240409851074219,-0.08691585063934326,-0.10000002384185791,12.033589363098145,-1.7443879842758179,-0.036894287914037704,visibility_direction_rejected
1786670435.568486,6,68,3,3,0.020288002709763758,12.699625015258789,9.571667671203613,0.10732194781303406,12.693933486938477,9.577876091003418,0.08886483311653137,visibility_direction_rejected
1786670435.568486,6,68,4,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,visibility_direction_rejected
1786670435.568486,6,68,5,2,2.0649573408302775,13.90855598449707,6.399027347564697,-0.03473564237356186,15.640409469604492,7.513084411621094,0.11891715973615646,visibility_direction_rejected
1786670435.9613118,5,71,1,15,1.7549684965905907,11.68375015258789,-0.057963013648986816,0.30000001192092896,12.033589363098145,-1.7443879842758179,-0.036894287914037704,visibility_direction_rejected
1786670435.9613118,5,71,2,3,0.020288002709763758,12.699625015258789,9.571667671203613,0.10732194781303406,12.693933486938477,9.577876091003418,0.08886483311653137,visibility_direction_rejected
1786670435.9613118,5,71,3,3,0.26666688919067383,11.68375015258789,6.0753703117370605,0.699999988079071,11.68375015258789,6.342037200927734,0.699999988079071,visibility_direction_rejected
1786670435.9613118,5,71,4,2,2.4468478964210894,5.661285877227783,2.9592361450195312,0.30000001192092896,3.3230044841766357,3.6800029277801514,0.29999998211860657,not_evaluated_this_snapshot
