[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/ssmi_goal_adapter/output_goal_topic] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/ssmi_goal_adapter/default_frame] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/ssmi_bag_graph_monitor/expected_frame] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/ssmi_bag_graph_monitor/source_odom_topic] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/ssmi_bag_graph_monitor/auto_goal] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,609: +PARAM [/ssmi_bag_graph_monitor/goal_x] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/goal_y] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/goal_z] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/goal_publish_delay] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/output_csv] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/finish_on_bag_idle] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/bag_idle_timeout] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/position_tolerance] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/yaw_tolerance_deg] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/collision_clearance] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/collision_check_radius] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/visibility_endpoint_exclusion] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,610: +PARAM [/ssmi_bag_graph_monitor/static_component_failure_frames] by /roslaunch
[rosmaster.master][INFO] 2026-08-17 15:41:38,628: +PUB [/rosout] /grid_semantic_adapter http://yanaibo-ThinkStation-P360-Tower:38255/
[rosmaster.master][INFO] 2026-08-17 15:41:38,629: +SERVICE [/grid_semantic_adapter/get_loggers] /grid_semantic_adapter http://yanaibo-ThinkStation-P360-Tower:38255/
[rosmaster.master][INFO] 2026-08-17 15:41:38,629: +SERVICE [/grid_semantic_adapter/set_logger_level] /grid_semantic_adapter http://yanaibo-ThinkStation-P360-Tower:38255/
[rosmaster.master][INFO] 2026-08-17 15:41:38,630: +SUB [/clock] /grid_semantic_adapter http://yanaibo-ThinkStation-P360-Tower:38255/
[rosmaster.master][INFO] 2026-08-17 15:41:38,632: +PUB [/semantic_pcl/semantic_pcl] /grid_semantic_adapter http://yanaibo-ThinkStation-P360-Tower:38255/
[rosmaster.master][INFO] 2026-08-17 15:41:38,632: +SUB [/grids_points] /grid_semantic_adapter http://yanaibo-ThinkStation-P360-Tower:38255/
[rosmaster.master][INFO] 2026-08-17 15:41:38,632: +CACHEDPARAM [/rosout_disable_topics_generation] by /grid_semantic_adapter
[rosmaster.master][INFO] 2026-08-17 15:41:38,633: +PUB [/rosout] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,634: +SERVICE [/semantic_octomap/get_loggers] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,634: +SERVICE [/semantic_octomap/set_logger_level] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,635: +SUB [/clock] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,635: +SUB [/tf] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,636: +SUB [/tf_static] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,636: +PUB [/tf_static] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,636: +CACHEDPARAM [/rosout_disable_topics_generation] by /semantic_octomap
[rosmaster.master][INFO] 2026-08-17 15:41:38,636: +SERVICE [/toggle_use_semantic_color] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,636: +SERVICE [/querry_RLE] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,637: +SERVICE [/reset_semantic_octomap] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,638: +PUB [/rosout] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,638: +SERVICE [/ssmi_bag_player/get_loggers] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,638: +SERVICE [/ssmi_bag_player/set_logger_level] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,640: +SUB [/clock] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,640: +PUB [/clock] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,641: +SERVICE [/ssmi_bag_player/pause_playback] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,641: +CACHEDPARAM [/rosout_disable_topics_generation] by /ssmi_bag_player
[rosmaster.master][INFO] 2026-08-17 15:41:38,644: +PUB [/octomap_full] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,644: +PUB [/octomap_color] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,645: +PUB [/occupancy_map_2D] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,646: +SUB [/semantic_pcl/semantic_pcl] /semantic_octomap http://yanaibo-ThinkStation-P360-Tower:39573/
[rosmaster.master][INFO] 2026-08-17 15:41:38,666: +PUB [/fusion_localization] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,667: +PUB [/tf] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,667: +PUB [/grids_points] /ssmi_bag_player http://yanaibo-ThinkStation-P360-Tower:39245/
[rosmaster.master][INFO] 2026-08-17 15:41:38,698: publisherUpdate[/rosout] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:38255/']
[rosmaster.master][INFO] 2026-08-17 15:41:38,700: publisherUpdate[/rosout] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:38255/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-17 15:41:38,700: publisherUpdate[/rosout] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:38255/', 'http://yanaibo-ThinkStation-P360-Tower:39573/']
[rosmaster.master][INFO] 2026-08-17 15:41:38,700: publisherUpdate[/rosout] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:38255/', 'http://yanaibo-ThinkStation-P360-Tower:39573/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-17 15:41:38,701: publisherUpdate[/tf_static] -> http://yanaibo-ThinkStation-P360-Tower:39573/ ['http://yanaibo-ThinkStation-P360-Tower:39573/']
[rosmaster.master][INFO] 2026-08-17 15:41:38,701: publisherUpdate[/tf_static] -> http://yanaibo-ThinkStation-P360-Tower:39573/ ['http://yanaibo-ThinkStation-P360-Tower:39573/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-17 15:41:38,701: publisherUpdate[/rosout] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:38255/', 'http://yanaibo-ThinkStation-P360-Tower:39573/', 'http://yanaibo-ThinkStation-P360-Tower:39245/']
[rosmaster.master][INFO] 2026-08-17 15:41:38,701: publisherUpdate[/rosout] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:38255/', 'http://yanaibo-ThinkStation-P360-Tower:39573/', 'http://yanaibo-ThinkStation-P360-Tower:39245/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-17 15:41:38,701: publisherUpdate[/clock] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:39245/']
[rosmaster.master][INFO] 2026-08-17 15:41:38,701: publisherUpdate[/clock] -> http://yanaibo-ThinkStation-P360-Tower:34999/ ['http://yanaibo-ThinkStation-P360-Tower:39245/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-08-17 15:41:38,701: publisherUpdate[/clock] -> http://yanaibo-ThinkStation-P360-Tower:38255/ ['http://yanaibo-ThinkStation-P360-Tower:39245/']
