sequence,system_time,ros_time,message_stamp,source_frame,world_frame,odom_valid,graph_initialized,start_x,start_y,start_z,source_goal_x,source_goal_y,source_goal_z,goal_x,goal_y,goal_z,session_id,selection_in_session,odom_stamp,semantic_map_stamp,odom_age_wall_s,semantic_map_age_wall_s,start_heading_x,start_heading_y,start_heading_z,nav_graph_nodes,static_global_nodes,static_candidate_nodes,dynamic_local_nodes,current_static_points,current_dynamic_points,semantic_graph_dirty,planner_running,previous_waypoint_valid,previous_waypoint_x,previous_waypoint_y,previous_waypoint_z
9,2026-08-11T19:57:44.192,53.602000000,53.591000000,world,world,1,1,3.9759,18.0001,0.2912,23.2628,-11.1924,0.0000,23.2628,-11.1924,0.0000,2026-08-11T19:56:39.676,1,53.587000000,53.500000000,0.000935621,0.000209047,1.0000,-0.0001,0.0000,17,4,0,12,152,23,1,0,0,0.0000,0.0000,0.0000
10,2026-08-11T19:59:29.278,34.887000000,34.782000000,world,world,1,1,3.9759,18.0001,0.2912,16.9529,-11.5382,0.0000,16.9529,-11.5382,0.0000,2026-08-11T19:58:56.938,1,34.886000000,34.800000000,0.000851526,0.000152197,1.0000,-0.0001,0.0000,10,4,0,5,152,19,1,0,0,0.0000,0.0000,0.0000
11,2026-08-11T20:00:02.619,62.087000000,61.883000000,world,world,1,1,13.6296,-1.5067,0.2360,24.8748,-38.3990,0.0000,24.8748,-38.3990,0.0000,2026-08-11T19:58:56.938,2,62.079000000,62.000000000,0.000002553,0.000254525,0.3255,-0.9456,0.0000,44,28,1,14,625,33,1,1,1,16.9529,-11.5382,0.0000
12,2026-08-11T20:00:15.043,72.095000000,72.012000000,world,world,1,1,16.2730,-11.5795,0.2355,29.7644,-57.8646,0.0000,29.7644,-57.8646,0.0000,2026-08-11T19:58:56.938,3,72.083000000,72.000000000,0.010065269,0.000622441,0.1814,-0.9834,0.0000,49,38,1,9,753,15,1,1,1,24.8748,-38.3990,0.0000
13,2026-08-11T20:04:06.989,36.924000000,36.788000000,world,world,1,1,3.9759,18.0001,0.2912,16.7851,-21.0784,0.0000,16.7851,-21.0784,0.0000,2026-08-11T20:03:33.356,1,36.911000000,36.800000000,0.000929266,0.000132340,1.0000,-0.0001,0.0000,10,4,0,5,152,19,1,0,0,0.0000,0.0000,0.0000
14,2026-08-11T20:04:16.971,44.917000000,44.829000000,world,world,1,1,4.7561,17.5262,0.2701,22.2649,-45.1335,0.0000,22.2649,-45.1335,0.0000,2026-08-11T20:03:33.356,2,44.905000000,44.800000000,0.001803409,0.000210018,0.2891,-0.9573,0.0000,33,20,2,11,352,23,1,1,1,1.0497,13.2625,0.7000
15,2026-08-11T20:05:12.376,90.125000000,89.955000000,world,world,1,1,14.7685,-8.5458,0.2583,25.9054,-61.4903,0.0000,25.9054,-61.4903,0.0000,2026-08-11T20:03:33.356,3,90.097000000,90.000000000,0.007526540,0.000332461,0.1641,-0.9864,0.0000,45,36,0,7,817,26,1,1,1,22.2649,-45.1335,0.0000
16,2026-08-11T20:10:26.537,335.335000000,335.110000000,world,world,1,1,36.5611,-45.4854,0.2710,37.7938,-46.2144,0.0000,37.7938,-46.2144,0.0000,2026-08-11T20:03:33.356,4,335.314000000,335.200000000,0.019335975,0.000279629,0.3963,-0.9181,0.0000,75,78,0,0,1256,0,1,1,1,25.9054,-61.4903,0.0000
17,2026-08-11T20:10:33.153,340.537000000,340.381000000,world,world,1,1,39.2178,-46.9114,0.2459,26.7587,-70.2357,0.0000,26.7587,-70.2357,0.0000,2026-08-11T20:03:33.356,5,340.501000000,340.400000000,0.019229569,0.000283266,0.9892,0.1468,0.0000,75,78,2,0,1173,0,1,1,1,37.7938,-46.2144,0.7000
18,2026-08-11T20:10:51.092,354.518000000,354.130000000,world,world,1,1,39.8931,-46.9075,0.2811,18.4785,-54.6744,0.0000,18.4785,-54.6744,0.0000,2026-08-11T20:03:33.356,6,354.114000000,354.000000000,0.492913131,0.477376072,0.8839,-0.4676,0.0000,75,78,0,0,1143,0,0,1,1,26.7587,-70.2357,0.0000
